Year,Species,Easting,Northing,Age,Sex,Tnights
1,DOC200,1744427.62,5426745.878,NA,NA,60
1,DOC200,1744489.941,5426948.73,NA,NA,60
1,DOC200,1744567.554,5427049.274,NA,NA,60
1,DOC200,1745169.288,5427148.026,NA,NA,60
1,VICTOR,1745280.16,5427188.474,NA,NA,60
1,VICTOR,1744920.846,5426655.019,NA,NA,60
1,VICTOR,1744774.302,5426672.376,NA,NA,60
1,VICTOR,1744605.315,5426649.518,NA,NA,60
1,VICTOR,1745370.678,5427015.663,NA,NA,60
1,VICTOR,1745274.411,5427077.722,NA,NA,60
1,VICTOR,1745262.46,5426935.052,NA,NA,60
1,VICTOR,1745297.405,5426881.159,NA,NA,60
1,VICTOR,1745337.492,5426818.585,NA,NA,60
1,VICTOR,1745114.995,5426927.18,NA,NA,60
1,VICTOR,1745081.176,5426718.664,NA,NA,60
1,DOC200,1745535.304,5426618.253,NA,NA,60
1,DOC200,1745560.606,5426771.012,NA,NA,60
1,DOC200,1745515.341,5427074.191,NA,NA,60
1,DOC200,1745701.09,5426977.905,NA,NA,60
1,DOC200,1745304.039,5427259.778,NA,NA,60
1,DOC200,1745460.207,5426884.572,NA,NA,60
1,DOC200,1745380.93,5426751.333,NA,NA,60
1,DOC200,1745646.144,5426857.75,NA,NA,60
1,VICTOR,1745579.463,5426993.198,NA,NA,60
1,VICTOR,1743854.624,5426970.802,NA,NA,60
1,DOC200,1743934.195,5426934.968,NA,NA,60
1,DOC200,1744023.399,5426983.236,NA,NA,60
1,VICTOR,1744177.495,5426885.453,NA,NA,60
1,DOC200,1743996.918,5426871.371,NA,NA,60
1,DOC200,1743953.753,5426731.449,NA,NA,60
1,DOC200,1743954.147,5426649.259,NA,NA,60
1,DOC200,1743994.481,5426762.946,NA,NA,60
1,VICTOR,1744012.553,5426678.667,NA,NA,60
1,VICTOR,1744055.838,5426731.387,NA,NA,60
1,VICTOR,1744068.031,5426668.087,NA,NA,60
1,DOC200,1744090.986,5426792.764,NA,NA,60
